epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2232,1.07079,1.45005,1.43683,0.43407,0.63135,0.52434,0.27368,1.63553,2.1735,2.46961,0.00033033,0.00033033,0.0672973
2,117.755,1.09301,1.13654,1.46192,0.5851,0.56876,0.5521,0.29576,1.60545,1.8224,2.46186,0.000657093,0.000657093,0.0342907
3,156.51,1.1349,1.2006,1.49339,0.61139,0.59525,0.6379,0.36601,1.4154,2.14121,2.09042,0.000977256,0.000977256,0.00127756
4,194.63,1.15628,1.17978,1.5067,0.66909,0.60939,0.67365,0.43322,1.3175,1.6414,1.94037,0.0009703,0.0009703,0.0009703
5,233.534,1.08242,1.12978,1.4528,0.74445,0.67565,0.73036,0.46283,1.30631,1.38782,1.85272,0.0009604,0.0009604,0.0009604
6,271.033,1.07397,1.07068,1.44566,0.78136,0.71928,0.78675,0.51882,1.21441,1.22977,1.78486,0.0009505,0.0009505,0.0009505
7,310.851,1.06502,1.03884,1.42897,0.73725,0.72666,0.77055,0.52199,1.20562,1.15098,1.76306,0.0009406,0.0009406,0.0009406
8,348.982,1.0254,1.05293,1.4056,0.79114,0.73068,0.8078,0.55566,1.13605,1.03695,1.68918,0.0009307,0.0009307,0.0009307
9,387.751,1.00462,1.00659,1.3932,0.80683,0.73171,0.80344,0.57966,1.09438,1.12365,1.67437,0.0009208,0.0009208,0.0009208
10,426.34,0.99028,0.92572,1.37108,0.82469,0.75061,0.8295,0.57975,1.12161,0.93501,1.72442,0.0009109,0.0009109,0.0009109
11,464.79,0.97404,0.91486,1.36391,0.78934,0.74199,0.81678,0.58243,1.05571,0.99553,1.5939,0.000901,0.000901,0.000901
12,504.321,0.98411,0.91316,1.36717,0.82282,0.78346,0.84644,0.60188,1.0087,0.84177,1.53423,0.0008911,0.0008911,0.0008911
13,541.912,0.94349,0.87926,1.33382,0.74209,0.67489,0.77435,0.54212,1.08181,1.20355,1.64907,0.0008812,0.0008812,0.0008812
14,580.942,0.9407,0.85105,1.33912,0.8003,0.74074,0.82037,0.57983,1.05337,1.05271,1.58381,0.0008713,0.0008713,0.0008713
15,618.452,0.92827,0.83974,1.32672,0.87395,0.67772,0.81927,0.57792,1.08062,1.02746,1.6457,0.0008614,0.0008614,0.0008614
16,657.16,0.92018,0.85021,1.32857,0.89209,0.76618,0.86913,0.63817,0.98674,0.76217,1.54452,0.0008515,0.0008515,0.0008515
17,695.37,0.92638,0.84785,1.32319,0.84919,0.77132,0.85184,0.60826,1.04528,0.82549,1.60385,0.0008416,0.0008416,0.0008416
18,733.849,0.92103,0.84665,1.32274,0.83112,0.78576,0.85866,0.61256,1.02571,0.86639,1.55743,0.0008317,0.0008317,0.0008317
19,771.881,0.91517,0.8298,1.31794,0.84253,0.70341,0.84313,0.60702,1.00643,0.97644,1.57197,0.0008218,0.0008218,0.0008218
20,810.38,0.90969,0.80515,1.31229,0.89912,0.75006,0.87841,0.65683,0.94405,0.78485,1.49975,0.0008119,0.0008119,0.0008119
21,849.313,0.89125,0.78401,1.29468,0.86863,0.78764,0.88336,0.65784,0.96664,0.75955,1.53239,0.000802,0.000802,0.000802
22,887.886,0.88188,0.77942,1.28311,0.81205,0.76922,0.84412,0.61971,0.94834,0.86826,1.46722,0.0007921,0.0007921,0.0007921
23,928.064,0.88262,0.77974,1.29178,0.88896,0.82244,0.89917,0.66273,0.96884,0.68023,1.53254,0.0007822,0.0007822,0.0007822
24,965.753,0.8585,0.73932,1.28154,0.8946,0.78694,0.89452,0.68497,0.90583,0.69006,1.43712,0.0007723,0.0007723,0.0007723
25,1005.19,0.87574,0.74043,1.2795,0.84114,0.68582,0.82566,0.60777,0.98707,1.01465,1.53124,0.0007624,0.0007624,0.0007624
26,1043.72,0.8567,0.73474,1.27435,0.85516,0.81643,0.89344,0.6516,0.99176,0.67401,1.56618,0.0007525,0.0007525,0.0007525
27,1082.58,0.85028,0.71309,1.25833,0.87562,0.82799,0.89966,0.67942,0.93112,0.66937,1.46935,0.0007426,0.0007426,0.0007426
28,1121.71,0.84412,0.70562,1.25831,0.88716,0.80919,0.88922,0.67088,0.92267,0.67287,1.46562,0.0007327,0.0007327,0.0007327
29,1159.82,0.83771,0.67665,1.25097,0.90141,0.8184,0.89839,0.68155,0.93647,0.68591,1.45116,0.0007228,0.0007228,0.0007228
30,1199.26,0.83113,0.69479,1.2562,0.88336,0.80076,0.89352,0.68779,0.89852,0.66475,1.42436,0.0007129,0.0007129,0.0007129
31,1237.21,0.82555,0.66299,1.25244,0.88827,0.83066,0.89279,0.6786,0.90379,0.66299,1.43583,0.000703,0.000703,0.000703
32,1276.94,0.82723,0.68845,1.24606,0.90195,0.8106,0.8995,0.68532,0.92989,0.67183,1.46633,0.0006931,0.0006931,0.0006931
33,1315.84,0.8192,0.67796,1.24341,0.90282,0.81015,0.89599,0.6802,0.90965,0.66651,1.42494,0.0006832,0.0006832,0.0006832
34,1354.87,0.82054,0.66667,1.25164,0.86818,0.80815,0.88825,0.66379,0.92474,0.75608,1.45252,0.0006733,0.0006733,0.0006733
